region,year,gov_change,UR_part,age,tenure,GRP,GRP_pc,GRP_pc_growth,GRP_growth,crime_rate,population,unemp_growth,unemp_rate,UR_result,turnout,real_UR_result,life_exp,pop_growth,invest,invest_growth,GRP_prev,GRP_pc_prev,GRP_pc_prev_growth,unemp_rate_prev,unemp_growth_prev,UR_result_prev,turnout_prev,pop_growth_prev,invest_growth_prev,crime_rate_prev,crime_rate_growth_prev,poverty_prev,poverty_prev_growth
Белгородская область,2000,0,0,50,7,"42074,5","27,9194",,"0,2448",1323,1507,"-0,5000","6,1","0,4759","0,7274","0,34616966","68,07",,6144,,,"22,611",,,,,,,,,,,
Белгородская область,2001,0,0,51,8,"49941,8","33,1179","0,1862","0,1870",1350,1508,"0,0492","6,4","0,4759","0,7274","0,34616966","67,38","0,0006635700066",9307,"0,5148111979","42074,5","27,91937624","0,2347696362","6,1","-0,5","0,4759","0,7274",,,1323,,"33,6",
Белгородская область,2002,0,0,52,9,"62404,4","41,2728","0,2462","0,2495",1198,1512,"0,2656","8,1","0,4759","0,7274","0,34616966","67,53","0,002652519894",7172,"-0,2293972279","49941,8","33,11790451","0,1861978656","6,4","0,04918032787","0,4759","0,7274","0,0006635700066","0,5148111979",1350,"0,02040816327","29,1","-0,1339285714"
Белгородская область,2003,0,1,53,10,"76054,5","50,2341","0,2171","0,2187",1264,1514,"0,0247","8,3","0,3306","0,5896","0,19492176",,"0,001322751323",10137,"0,4134132738","62404,4","41,27275132","0,2462367995","8,1","0,265625","0,4759","0,7274","0,002652519894","-0,2293972279",1198,"-0,1125925926","25,43","-0,1261168385"
Белгородская область,2004,0,1,54,11,"114409,3","75,6675","0,5063","0,5043",1280,1512,"-0,2530","6,2","0,5482","0,7184","0,39382688",,"-0,001321003963",14995,"0,4792344875","76054,5","50,23414795","0,2171262235","8,3","0,02469135802","0,3306","0,5896","0,001322751323","0,4134132738",1264,"0,0550918197","22,9","-0,09948879276"
Белгородская область,2005,0,1,55,12,"144987,8","95,8914","0,2673","0,2673",1670,1512,"-0,0484","5,9","0,5482","0,7184","0,39382688","68,43",0,23167,"0,5449816606","114409,3","75,66752646","0,5062966038","6,2","-0,2530120482","0,5482","0,7184","-0,001321003963","0,4792344875",1280,"0,01265822785","20,7","-0,096069869"
Белгородская область,2006,0,1,56,13,"178846,1","118,1282","0,2319","0,2335",1594,1514,"-0,0508","5,6","0,5482","0,7184","0,39382688",,"0,001322751323",34419,"0,4856908534","144987,8","95,89140212","0,2672728528","5,9","-0,04838709677","0,5482","0,7184",0,"0,5449816606",1670,"0,3046875","18,1","-0,1256038647"
Белгородская область,2007,0,1,57,14,"237013,3","155,9298","0,3200","0,3252",1397,1520,"-0,2321","4,3","0,6539","0,7417","0,48499763","70,33","0,003963011889",55045,"0,5992620355","178846,1","118,1282034","0,2318956739","5,6","-0,05084745763","0,5482","0,7184","0,001322751323","0,4856908534",1594,"-0,04550898204","15,14","-0,1635359116"
Белгородская область,2008,0,1,58,15,"317656,3","208,1627","0,3350","0,3402",1257,1526,"-0,0930","3,9","0,6896","0,7794","0,53747424",,"0,003947368421",68421,"0,2430011809","237013,3","155,9298026","0,32000486","4,3","-0,2321428571","0,6539","0,7417","0,003963011889","0,5992620355",1397,"-0,1235884567","12,4","-0,1809775429"
Белгородская область,2009,0,1,59,16,"304345,3","198,6588","-0,0457","-0,0419",1308,1532,"0,2051","4,7","0,6896","0,7794","0,53747424",,"0,003931847969",47826,"-0,3010040777","317656,3","208,162713","0,3349770824","3,9","-0,09302325581","0,6896","0,7794","0,003947368421","0,2430011809",1257,"-0,1002147459",10,"-0,1935483871"
Белгородская область,2010,0,1,60,17,"398361,4","260,0270","0,3089","0,3089",1099,1532,"0,1064","5,2","0,6896","0,7794","0,53747424","71,31",0,62865,"0,3144523899","304345,3","198,658812","-0,04565611597","4,7","0,2051282051","0,6896","0,7794","0,003931847969","-0,3010040777",1308,"0,04057279236","10,1","0,01"
Белгородская область,2011,0,1,61,18,"507839,8","330,6249","0,2715","0,2748",1036,1536,"-0,1731","4,3","0,5116","0,755","0,386258","71,71","0,002610966057",82123,"0,3063389804","398361,4","260,0270235","0,3089126068","5,2","0,1063829787","0,6896","0,7794",0,"0,3144523899",1099,"-0,1597859327","8,4","-0,1683168317"
Белгородская область,2012,0,1,62,19,"545517,2","354,0021","0,0707","0,0742",968,1541,"-0,1395","3,7","0,593","0,7434","0,4408362","71,91","0,003255208333",88929,"0,08287568647","507839,8","330,6248698","0,2715019591","4,3","-0,1730769231","0,5116","0,755","0,002610966057","0,3063389804",1036,"-0,05732484076","8,6","0,02380952381"
Белгородская область,2013,0,1,63,20,"569006,4","368,5275","0,0410","0,0431",968,1544,"0,0811",4,"0,593","0,7434","0,4408362","72,16","0,0019467878",83891,"-0,05665193581","545517,2","354,0020766","0,07070613531","3,7","-0,1395348837","0,593","0,7434","0,003255208333","0,08287568647",968,"-0,06563706564","6,5","-0,2441860465"
Белгородская область,2014,0,1,64,21,"619677,7","400,3086","0,0862","0,0891",925,1548,"0,0000",4,"0,593","0,7434","0,4408362","72,25","0,002590673575",78044,"-0,06969758377","569006,4","368,5274611","0,0410319191",4,"0,08108108108","0,593","0,7434","0,0019467878","-0,05665193581",968,0,"7,6","0,1692307692"
